ImageId,filename,catid,fold_id
Atlanta_nadir10_catid_1030010003993E00_733601_3724689,data/SpaceNet_Off-Nadir_Dataset/SpaceNet-Off-Nadir_Train/Atlanta_nadir10_catid_1030010003993E00/Pan-Sharpen/Pan-Sharpen_Atlanta_nadir10_catid_1030010003993E00_733601_3724689.tif,Atlanta_nadir10_catid_1030010003993E00,1
Atlanta_nadir10_catid_1030010003993E00_734051_3740889,data/SpaceNet_Off-Nadir_Dataset/SpaceNet-Off-Nadir_Train/Atlanta_nadir10_catid_1030010003993E00/Pan-Sharpen/Pan-Sharpen_Atlanta_nadir10_catid_1030010003993E00_734051_3740889.tif,Atlanta_nadir10_catid_1030010003993E00,2
Atlanta_nadir10_catid_1030010003993E00_735401_3738639,data/SpaceNet_Off-Nadir_Dataset/SpaceNet-Off-Nadir_Train/Atlanta_nadir10_catid_1030010003993E00/Pan-Sharpen/Pan-Sharpen_Atlanta_nadir10_catid_1030010003993E00_735401_3738639.tif,Atlanta_nadir10_catid_1030010003993E00,1
Atlanta_nadir10_catid_1030010003993E00_735401_3743139,data/SpaceNet_Off-Nadir_Dataset/SpaceNet-Off-Nadir_Train/Atlanta_nadir10_catid_1030010003993E00/Pan-Sharpen/Pan-Sharpen_Atlanta_nadir10_catid_1030010003993E00_735401_3743139.tif,Atlanta_nadir10_catid_1030010003993E00,0
Atlanta_nadir10_catid_1030010003993E00_736751_3730539,data/SpaceNet_Off-Nadir_Dataset/SpaceNet-Off-Nadir_Train/Atlanta_nadir10_catid_1030010003993E00/Pan-Sharpen/Pan-Sharpen_Atlanta_nadir10_catid_1030010003993E00_736751_3730539.tif,Atlanta_nadir10_catid_1030010003993E00,2
Atlanta_nadir10_catid_1030010003993E00_737201_3735039,data/SpaceNet_Off-Nadir_Dataset/SpaceNet-Off-Nadir_Train/Atlanta_nadir10_catid_1030010003993E00/Pan-Sharpen/Pan-Sharpen_Atlanta_nadir10_catid_1030010003993E00_737201_3735039.tif,Atlanta_nadir10_catid_1030010003993E00,2
Atlanta_nadir10_catid_1030010003993E00_739001_3722439,data/SpaceNet_Off-Nadir_Dataset/SpaceNet-Off-Nadir_Train/Atlanta_nadir10_catid_1030010003993E00/Pan-Sharpen/Pan-Sharpen_Atlanta_nadir10_catid_1030010003993E00_739001_3722439.tif,Atlanta_nadir10_catid_1030010003993E00,3
Atlanta_nadir10_catid_1030010003993E00_739451_3731889,data/SpaceNet_Off-Nadir_Dataset/SpaceNet-Off-Nadir_Train/Atlanta_nadir10_catid_1030010003993E00/Pan-Sharpen/Pan-Sharpen_Atlanta_nadir10_catid_1030010003993E00_739451_3731889.tif,Atlanta_nadir10_catid_1030010003993E00,0
Atlanta_nadir10_catid_1030010003993E00_739451_3743589,data/SpaceNet_Off-Nadir_Dataset/SpaceNet-Off-Nadir_Train/Atlanta_nadir10_catid_1030010003993E00/Pan-Sharpen/Pan-Sharpen_Atlanta_nadir10_catid_1030010003993E00_739451_3743589.tif,Atlanta_nadir10_catid_1030010003993E00,3
Atlanta_nadir10_catid_1030010003993E00_741251_3730089,data/SpaceNet_Off-Nadir_Dataset/SpaceNet-Off-Nadir_Train/Atlanta_nadir10_catid_1030010003993E00/Pan-Sharpen/Pan-Sharpen_Atlanta_nadir10_catid_1030010003993E00_741251_3730089.tif,Atlanta_nadir10_catid_1030010003993E00,0
Atlanta_nadir10_catid_1030010003993E00_741251_3740439,data/SpaceNet_Off-Nadir_Dataset/SpaceNet-Off-Nadir_Train/Atlanta_nadir10_catid_1030010003993E00/Pan-Sharpen/Pan-Sharpen_Atlanta_nadir10_catid_1030010003993E00_741251_3740439.tif,Atlanta_nadir10_catid_1030010003993E00,0
Atlanta_nadir10_catid_1030010003993E00_741251_3742239,data/SpaceNet_Off-Nadir_Dataset/SpaceNet-Off-Nadir_Train/Atlanta_nadir10_catid_1030010003993E00/Pan-Sharpen/Pan-Sharpen_Atlanta_nadir10_catid_1030010003993E00_741251_3742239.tif,Atlanta_nadir10_catid_1030010003993E00,0
